Serial # of the imaged chromosome,ID # of the imaged TAD,x(um),y(um),z(um)
13,20,17.090155,18.982935,1.070358
13,21,17.167181,19.072933,1.053162
13,22,17.372432,19.434973,2.241892
13,23,17.084313,19.460865,1.636987
13,24,,,
13,25,17.663904,19.114802,1.467547
13,26,18.888638,18.774684,1.0053
13,27,17.059603,18.753624,1.419828
14,1,27.10903,22.551126,0.754176
14,2,28.048061,22.394989,1.368849
14,3,27.601201,22.133104,1.047833
14,4,,,
14,5,27.226585,22.494577,1.347109
14,6,29.432838,21.851661,1.058826
14,7,28.164915,22.371209,1.802783
14,8,28.079291,21.446107,0.960578
14,9,28.38569,21.508085,0.953035
14,10,,,
14,11,27.65215,20.784302,2.011831
14,12,27.86981,21.757638,1.477583
14,13,27.694333,21.663262,0.988113
14,14,27.499753,21.806568,1.09404
14,15,27.852008,22.00503,1.437526
14,16,28.154931,21.672707,2.02928
14,17,28.362576,21.258898,2.131814
14,18,28.556004,21.791142,1.947927
14,19,28.930149,22.693514,1.706995
14,20,29.81592,22.367174,1.547371
14,21,29.843546,22.208154,1.451017
14,22,29.033561,22.002029,1.441079
14,23,28.368878,21.989675,1.715546
14,24,,,
14,25,28.208174,21.451437,2.15417
14,26,26.765136,22.175315,1.087249
14,27,27.311406,22.647453,1.392768
15,1,24.386363,17.154052,0.847178
15,2,23.987319,17.183949,1.065405
15,3,24.514531,17.006773,1.085844
15,4,24.817317,17.58076,1.328941
15,5,24.524658,17.054828,1.385129
15,6,24.591058,16.581698,0.94619
15,7,24.625909,16.842327,1.420554
15,8,25.125202,16.078882,1.337147
15,9,24.727925,16.22959,1.275828
15,10,,,
15,11,24.129416,15.871237,1.806923
15,12,24.259215,16.060097,1.500479
15,13,23.49539,16.523578,0.920618
15,14,23.276848,17.533565,1.080479
15,15,22.242229,16.822294,1.478924
15,16,22.000703,16.80438,1.697472
15,17,21.935554,16.408609,1.507289
15,18,21.747085,16.461072,1.574389
15,19,21.505675,16.477471,1.45239
15,20,22.019691,16.423926,2.404206
15,21,,,
15,22,22.505475,16.281284,1.710892
15,23,23.404105,16.323706,1.625002
15,24,,,
15,25,23.785946,16.377156,1.224256
15,26,23.66818,16.910258,1.015661
15,27,23.748124,16.378451,2.014204
16,1,24.44556,23.267907,0.831434
16,2,24.14381,22.829426,1.142463
16,3,24.048931,22.15954,1.583375
16,4,23.968784,22.098108,1.72139
16,5,23.915706,21.72476,1.513641
16,6,24.619935,22.969326,0.941737
16,7,,,
16,8,24.609027,22.44581,1.165108
16,9,24.847103,22.747063,1.100915
16,10,,,
16,11,24.90522,21.96926,1.688783
16,12,25.409096,21.972344,1.795609
16,13,25.354066,22.596604,0.924616
16,14,24.053389,22.938709,0.916719
16,15,24.427372,22.114324,1.463687
16,16,24.418487,22.243334,2.019717
16,17,23.833372,21.817482,0.979846
16,18,23.783711,21.816453,1.413783
16,19,23.165402,20.944641,1.400944
16,20,,,
16,21,24.760412,21.704602,1.342737
16,22,24.0466,21.273093,1.908567
16,23,23.727121,21.192414,1.499179
16,24,,,
16,25,24.609661,21.592946,1.395255
16,26,24.648225,21.93068,1.1651
16,27,24.887082,21.84403,1.634784
17,1,19.299722,19.012653,2.424412
17,2,18.83776,19.022149,2.179465
17,3,19.585122,18.587929,1.861587
17,4,19.573935,18.760837,1.706325
17,5,19.941023,18.429041,1.604354
17,6,19.731524,17.841549,1.963181
17,7,,,
17,8,19.693518,18.704269,2.240349
17,9,19.636814,18.348314,2.0679
17,10,,,
17,11,20.781011,17.947747,1.90697
17,12,,,
17,13,20.358372,18.432234,2.443122
17,14,19.320529,19.526827,2.357224
17,15,19.45475,18.698894,1.726454
17,16,19.905897,18.82588,2.030352
17,17,19.693025,19.00877,2.591636
17,18,19.358783,19.304275,1.987706
17,19,19.574971,18.936627,1.365443
17,20,20.365183,18.535022,1.641137
17,21,20.56525,18.055074,0.907778
17,22,19.24279,18.755028,1.465784
17,23,18.473736,19.210545,1.658724
17,24,,,
17,25,19.025633,19.259495,1.913917
17,26,19.498574,18.760818,2.68451
17,27,20.281058,17.721764,2.010275
18,1,25.798145,21.325107,0.743592
